kind,alpha,frequency_MHz,area_m2,dipoles_per_tile,before_n,after_n,before_rate_as_printed,after_rate_per_year,ratio_after_removing_normalization
dish,-1.0,400.0,24.000000000000004,,734,733,88.55855987074256,42830.02715234836,0.9986376021798364
dish,-1.0,400.0,24.1,,732,731,88.31725589289313,42713.16486816733,0.9986338797814207
dish,-1.0,400.0,24.200000000000003,,730,729,88.0759519150437,42596.302583986304,0.9986301369863013
dish,-1.0,400.0,24.300000000000004,,728,727,87.83464793719426,42479.44029980527,0.9986263736263735
dish,-1.0,400.0,24.400000000000002,,726,725,87.59334395934484,42362.57801562423,0.9986225895316803
dish,-1.0,400.0,24.500000000000004,,724,723,87.35203998149541,42245.715731443204,0.9986187845303865
dish,-1.0,400.0,24.6,,722,721,87.11073600364595,42128.853447262176,0.9986149584487535
dish,-1.0,400.0,24.700000000000003,,720,719,86.86943202579653,42011.99116308114,0.9986111111111109
dish,-1.0,400.0,24.800000000000004,,718,717,86.6281280479471,41895.12887890011,0.9986072423398327
dish,-1.0,400.0,24.900000000000002,,716,715,86.38682407009766,41778.266594719076,0.9986033519553071
dish,-1.0,400.0,25.000000000000004,,714,713,86.14552009224823,41661.40431053805,0.9985994397759101
dish,-1.0,400.0,25.1,,712,711,85.90421611439878,41544.54202635701,0.9985955056179775
dish,-1.0,400.0,25.200000000000003,,710,709,85.66291213654935,41427.679742175984,0.9985915492957746
dish,-1.0,400.0,25.300000000000004,,708,707,85.42160815869993,41310.81745799494,0.9985875706214685
dish,-1.0,400.0,25.400000000000002,,706,705,85.18030418085048,41193.95517381391,0.998583569405099
dish,-1.0,400.0,25.500000000000004,,704,703,84.93900020300104,41077.09288963288,0.9985795454545453
dish,-1.0,400.0,25.6,,702,701,84.69769622515162,40960.23060545185,0.9985754985754984
dish,-1.0,400.0,25.700000000000003,,700,699,84.45639224730219,40843.36832127081,0.9985714285714283
dish,-1.0,400.0,25.800000000000004,,698,697,84.21508826945274,40726.506037089785,0.998567335243553
dish,-1.0,400.0,25.900000000000002,,696,695,83.97378429160331,40609.64375290875,0.9985632183908044
dish,-1.0,400.0,26.000000000000004,,694,693,83.73248031375388,40492.78146872772,0.9985590778097981
dish,-1.0,400.0,26.1,,692,691,83.49117633590444,40375.919184546685,0.9985549132947975
dish,-1.0,400.0,26.200000000000003,,690,689,83.249872358055,40259.05690036566,0.9985507246376811
dish,-1.0,400.0,26.300000000000004,,688,688,83.00856838020557,40200.62575827514,0.9999999999999999
dish,-1.0,400.0,26.400000000000002,,687,686,82.88791639128085,40083.76347409411,0.9985443959243084
dish,-1.0,400.0,26.500000000000004,,685,684,82.64661241343141,39966.90118991308,0.9985401459854015
dish,-1.0,400.0,26.6,,683,682,82.40530843558199,39850.03890573204,0.9985358711566616
